"Neighborhood","CUISINE","RESTAURANT","SCORE"
"West Greenwich Village ","Asian","AMBER VILLAGE  SUSHI AND THAI",5
"West Greenwich Village ","Irish","BARROW'S PUB",5
"West Greenwich Village ","Bakery","HUDSON CAFE",5
"West Greenwich Village ","Italian","TRATTORIA SPAGHETTO",5
"West Midtown ","Chinese/Japanese","AKI SUSHI WEST",5
"West Midtown ","American","BRICKYARD GASTRO PUB",5
"West Midtown ","Other","HOWL AT THE MOON",5
"West Midtown ","Jewish/Kosher","MILK N' HONEY",5
"West Midtown ","Irish","O'REILLY'S PUB",5
"West Midtown ","American","TICK TOCK DINER",5
